judge,pH,R,G,B
error,4.2,103,104,70
danger,4.8,94,106,86
safe,6.1,67,62,85
danger,5.1,90,103,85
danger,5.3,91,100,97
warning,6.0,80,76,103
error,4.6,99,110,94
error,4.3,96,99,70
danger,5.6,83,88,94
error,4.3,103,106,75
error,4.1,107,112,72
error,4.4,95,103,79
danger,5.0,96,103,95
danger,5.0,97,110,100
error,4.5,99,109,82
error,4.4,100,110,83
warning,5.9,77,76,92
safe,6.2,73,68,98
danger,4.9,89,96,78
error,4.2,98,107,78
safe,6.1,72,63,90
error,4.6,101,113,93
safe,6.2,85,80,110
danger,4.9,85,91,79
danger,5.3,85,91,87
danger,4.9,94,106,94
safe,6.1,67,56,86
safe,6.3,74,69,101
safe,6.4,74,69,101
safe,6.2,71,67,94
safe,6.3,74,67,100
danger,5.4,87,96,95
safe,6.3,75,71,104
safe,6.2,84,78,112
error,4.5,108,120,98
warning,6.0,69,60,87
danger,5.6,81,86,90
warning,5.9,81,82,100
safe,6.3,65,47,85
danger,4.9,95,104,87
error,4.0,109,114,74
error,4.4,103,112,83
danger,5.2,83,84,78
safe,6.1,75,67,91
safe,6.3,71,67,100
error,4.5,100,104,77
danger,5.0,84,96,86
warning,5.7,89,96,106
danger,5.2,82,88,84
danger,5.0,92,101,98
safe,6.1,76,75,106
danger,5.4,85,89,92
safe,6.4,76,66,103
danger,5.2,84,86,81
error,4.6,93,107,90
safe,6.1,73,69,94
danger,5.4,84,88,89
error,4.7,99,113,96
error,4.0,110,116,82
danger,5.1,88,95,88
safe,6.2,83,79,112
warning,6.0,87,88,116
danger,4.9,83,94,78
safe,6.4,71,65,101
danger,5.0,84,87,78
danger,5.4,81,85,84
error,4.3,108,118,93
danger,4.8,94,108,95
safe,6.4,73,72,106
error,4.7,92,97,75
safe,6.1,82,82,108
warning,5.9,76,73,90
error,4.5,92,100,79
danger,5.6,83,86,95
safe,6.2,75,69,97
warning,5.9,83,82,100
error,4.2,106,115,88
danger,5.5,79,84,87
error,4.1,108,112,79
safe,6.3,78,78,112
safe,6.2,75,76,104
error,4.0,117,119,79
warning,5.8,75,75,87
danger,4.8,88,99,82
warning,5.7,77,74,83
error,4.2,106,113,82
danger,5.5,97,102,106
error,4.0,112,118,82
error,4.3,103,110,77
danger,5.4,78,82,85
error,4.1,113,120,79
safe,6.3,79,74,104
error,4.7,89,100,83
warning,5.9,83,90,106
error,4.3,99,109,72
error,4.7,82,87,67
error,4.7,95,103,80
warning,5.7,76,62,77
danger,5.0,89,101,91
warning,6.0,76,71,94
error,4.3,101,108,77
warning,5.7,85,92,98
danger,5.6,81,88,98
safe,6.3,69,65,98
safe,6.2,75,69,95
safe,6.4,75,71,104
error,4.4,96,106,82
error,4.3,102,109,78
danger,5.3,86,86,84
safe,6.4,69,59,96
warning,5.9,77,76,94
warning,5.8,72,69,86
danger,5.2,84,95,91
danger,4.9,90,99,82
error,4.3,103,107,72
error,4.6,99,109,85
danger,5.5,83,84,88
danger,5.5,91,101,103
error,4.5,101,110,79
danger,5.4,84,93,90
warning,5.7,73,67,79
error,4.1,105,112,79
danger,5.2,87,96,91
error,4.1,105,109,72
error,4.7,95,105,81
error,4.4,103,112,91
danger,4.9,98,109,93
danger,5.2,82,81,77
safe,6.3,77,69,106
danger,5.4,84,90,88
error,4.1,106,112,78
danger,5.5,80,81,83
warning,5.7,82,86,97
safe,6.2,70,65,95
error,4.0,113,121,82
warning,5.9,75,71,88
danger,5.6,79,86,96
warning,6.0,83,80,99
error,4.2,106,117,87
error,4.5,107,115,91
warning,5.8,79,81,93
warning,6.0,77,75,96
error,4.1,111,117,81
danger,5.4,88,99,105
danger,4.9,87,95,80
danger,5.3,91,97,95
danger,4.9,95,106,90
safe,6.4,70,69,103
danger,5.0,96,104,93
danger,5.2,79,80,75
warning,5.8,70,62,83
warning,5.7,82,82,94
error,4.1,112,117,77
danger,5.0,98,109,105
error,4.6,88,97,76
error,4.3,105,113,76
error,4.7,99,108,89
error,4.5,104,109,79
safe,6.4,73,67,105
error,4.7,85,88,71
safe,6.1,74,68,94
danger,4.9,95,107,93
warning,5.8,85,86,106
danger,5.5,90,96,96
error,4.3,103,110,79
warning,5.9,82,80,94
error,4.7,92,100,76
danger,4.8,92,104,84
error,4.6,101,113,93
error,4.1,106,115,84
warning,5.9,71,64,82
error,4.6,93,107,84
safe,6.2,78,74,101
error,4.0,109,110,70
error,4.5,97,107,82
warning,5.8,81,84,103
error,4.7,97,102,82
safe,6.2,82,77,107
safe,6.2,78,64,97
warning,5.8,78,76,90
safe,6.4,70,64,98
warning,6.0,75,70,100
error,4.6,92,106,89
error,4.7,94,106,84
warning,5.7,84,90,102
warning,6.0,74,76,97
danger,4.9,92,105,87
danger,5.4,85,87,86
warning,5.8,86,85,99
danger,5.2,84,94,86
danger,5.2,91,98,91
warning,5.8,91,95,106
safe,6.2,72,68,95
error,4.4,88,98,73
danger,5.3,94,96,91
safe,6.2,77,70,103
danger,5.0,88,94,82
safe,6.4,77,76,107
danger,5.3,82,92,84
